Species,Region-Main,Region-Sub,EOO_sqKm,DEL3,DEL2,DEL1,IUCNStatus,DomatiaScoreTotal,InteractionCount,PlastPetLen,PlastLLen,PlastPULA,PlastVein,PlastLLob,Plasticity SLA,Average Plasticity,PlastTot,RankAICc,IUCNLowRes,Average Survey Score
martinezii,M,,202557.32,8,7,3,LC,7,0,0.820627803,0.378787879,0.574967535,0.788093665,0.566273551,0.609861341,6.283986882,9.800778542,76.04713871,LC,
sartorii,M,,138887.25,8,7,5,NT,3,0,0.82745098,0.530201342,0.425819078,0.476233604,0.221799493,0.259136248,12.33217422,14.81838085,65.89073493,NT,2.5
toumeyi,M,,142677.41,8,6,4,DD,4,0,0.913043478,0.230769231,0.157862661,0.549482994,0.15562419,0.141570926,6.331111664,8.085606341,57.75069069,DD,3
vaseyana,M,E,66815.49,8,7,6,LC,7,0,0.428571429,0.288461538,0.578952092,0.757324986,0.55279121,0.888337523,6.002463807,9.292368809,54.43881241,LC,3.5
buckleyi,E,,225382.73,9,5,3,LC,4,0,0.300699301,0.315217391,0.168768827,0.42764529,0.393776576,0.724978629,10.07552087,12.37273817,52.82264425,LC,3.5
palmeri,C,,211418.94,9,6,5,LC,6,0,0.595628415,0.366795367,0.527996498,0.741568245,0.504244697,0.660042894,8.915687944,12.07464051,53.35657785,LC,
deserticola,M,,257683.76,10,7,3,LC,4,NA,0.565217391,0.470588235,0.483609604,0.511631352,0.252748152,0.297110081,6.272689682,8.594711297,70.05987606,LC,2
diversifolia,M,,130931.56,10,8,5,EN,7,NA,0.111111111,0.147208122,0.264420516,0.537596265,0.363196598,0.625960739,6.833454914,8.708548599,77.85502353,THR,2
douglasii,C,,175864.54,10,6,5,LC,5,0,0.71875,0.596899225,0.719536473,0.870222714,0.541908611,0.786756482,5.39776437,9.303523773,47.11875559,LC,3.4
dumosa,C,,188325.98,10,5,4,EN,4,0,0.024390244,0.176470588,0.088103836,0.102555765,0.119619385,0.087653212,6.423646798,7.039503448,62.79903312,THR,4.5
gentryi,M,,188628.08,10,9,4,EN,8,0,0.534883721,0.244024458,0.487023416,0.351334048,0.464729956,0.044283266,6.134065738,8.373740511,57.53919877,THR,
glabrescens,M,,203433.63,10,8,4,LC,6,NA,,NA,NA,NA,NA,NA,NA,NA,80.90357212,LC,
glaucescens,M,,345817.44,10,9,5,LC,4,NA,0.090909091,0.077720207,0.033341911,NA,0.076111258,0.031694601,8.003175134,8.38906346,73.4693062,LC,
hypoleucoides,M,,259038.17,10,8,7,LC,9,0,0.790940767,0.537735849,0.54883955,0.426850067,0.482448781,0.813549289,5.939808967,9.595771984,51.65583344,LC,2.75
laevis,E,,445143.13,10,5,3,LC,5,0,0.914529915,0.420731707,0.532541167,0.713721966,0.552894195,0.795817715,7.319991582,11.08940048,45.67848511,LC,3.5
oblongifolia,M,,516546.42,10,7,5,LC,9,0,0.908256881,0.585798817,0.582707425,0.741608909,0.513986219,0.779724684,4.958522399,8.842982644,41.23844301,LC,3
sapotifolia,M,,322777.85,10,9,5,NT,4,0,0.106241944,0.094650206,0.083450179,0.068670432,0.043306699,0.043970812,4.773565048,5.188491587,46.89654928,NT,3
eduardi,M,,293647.86,11,11,5,LC,6,NA,0.614035088,0.341176471,0.3760614,0.40194085,0.219247131,0.067997142,7.474335624,9.312099987,71.64487808,LC,2
engelmannii,M,C,47471.19,11,7,5,EN,5,0,0.529411765,0.230769231,0.615125585,0.809188931,0.559495246,0.236092534,6.051530333,8.78191994,57.98955203,THR,3.875
greggii,M,,132054.27,11,9,6,LC,4,0,0.642857143,0.34375,0.510996442,0.589134198,0.39753046,0.613941019,6.308235026,9.21484055,58.02566433,LC,3
mohriana,M,E,433384.47,11,7,4,LC,3,0,0.574468085,0.474747475,0.589310811,0.79252859,0.581021713,0.723583654,5.636523066,9.160676516,66.10376683,LC,3.5
resinosa,M,,166923.91,11,11,5,LC,4,0,0.418312388,0.3796254,0.312849152,0.458091744,0.257682032,0.462805156,5.769605738,7.858561899,53.10096749,LC,2
wislizeni,C,,322467.92,11,6,5,LC,5,0,0.558823529,0.398058252,0.324715936,0.462986031,0.462986031,0.792710692,5.34174633,8.342026801,46.05896418,LC,2.6
emoryi,M,,763233.34,12,10,6,LC,5,1,0.394736842,0.384615385,0.269698431,0.257157609,0.167149748,0.730553701,5.2694599,7.383363755,41.03876298,LC,2.75
glaucoides,M,,337466.84,12,10,6,LC,4,NA,0.078014184,0.107296137,0.217058123,0.042831736,0.287379765,0.588631478,6.973266308,8.539025759,78.78332691,LC,
incana,E,,576554.36,12,6,2,LC,6,0,0.8,0.785545583,0.626732228,0.7732161,0.589398466,0.264655259,5.153877975,8.809607977,44.04582599,LC,4.666666667
lancifolia,M,,343905.79,12,9,4,LC,7,2,0.625,0.597444089,0.508829966,0.503628138,0.319516002,0.427190396,5.004080585,7.801577039,41.81753187,LC,4
lobata,C,,252145.66,12,7,5,LC,5,0,0.787234043,0.668539326,0.542690262,0.576277696,0.473153455,0.749494053,5.66507144,9.359336034,48.7455188,LC,2.6
acutissima,U,,5177473,13,7,4,LC,6,0,,NA,NA,NA,NA,NA,NA,NA,25.98610169,LC,2
cerris,U,,1680746,13,7,4,LC,5,5,,NA,NA,NA,NA,NA,NA,NA,46.81735169,LC,2
mexicana,M,,282129.09,13,11,7,LC,6,NA,0.676549865,0.520710059,0.572175363,0.787895936,0.491122972,0.858905319,5.758815041,9.369401591,45.18806724,LC,2
oleoides,M,,412949.54,13,11,6,NT,3,0,0.813333333,0.168831169,0.240006588,0.265768609,0.099154734,0.598697603,4.594791416,6.613969578,42.54753085,THR,2
polymorpha,M,,152904.27,13,12,6,LC,3,0,,NA,NA,NA,NA,NA,NA,NA,58.810339,LC,2.333333333
scytophylla,M,,311153.8,13,11,4,VU,5,0,0.512195122,0.430463576,0.450006397,0.657443087,0.55854074,0.737731148,5.992835325,8.681772308,48.12728733,THR,3
vacciniifolia,C,,136611.6,13,5,5,LC,3,0,0.5,0.450980392,0.482745486,0.760061947,0.52254417,0.778660127,5.605907534,8.863381878,49.71080021,LC,3.2
fusiformis,E,M,501733.43,14,9,6,LC,3,0,0.368421053,0.472081218,0.587787866,0.437941195,0.641224662,0.859854272,5.390090794,8.960684528,47.52668264,LC,3
similis,E,,257597.72,14,5,2,LC,6,0,0.047619048,0.054054054,0.057903537,0.479205112,0.060581151,0.094531864,6.122225276,6.49749608,60.48906778,LC,4.5
magnoliifolia,M,,438504.96,15,11,5,LC,7,0,0.553072626,0.520408163,0.412625061,0.681586054,0.627923012,0.692535486,4.952355364,8.386842724,57.94619531,LC,2
acutifolia,M,,552634.75,16,10,4,VU,5,0,,NA,NA,NA,NA,NA,NA,NA,38.38685241,THR,
crassipes,M,,421909.55,16,12,5,LC,4,0,0.827586207,0.50310559,0.428557289,0.642456092,0.427280229,0.785134033,4.715724412,8.114667988,38.99911747,LC,2
ilicifolia,E,,303076.24,16,8,4,NT,9,NA,,NA,NA,0.673038162,NA,NA,NA,NA,41.4768829,NT,3
kelloggii,C,,375955.83,16,7,6,LC,7,NA,0.413533835,0.36,0.205238566,0.239889489,0.235177974,0.223353674,7.443301706,9.115783729,42.5864722,LC,2.8
pungens,M,E,595326.8,16,12,8,NT,4,0,,NA,NA,NA,NA,0.734253613,9.743563403,NA,39.5331714,NT,3.166666667
elliptica,M,,667973.38,17,13,5,LC,8,NA,0.655172414,0.327935223,0.453601684,0.707980062,0.49648689,0.729998758,4.546487553,7.706169411,46.12800486,LC,3.5
garryana,C,,416505.76,17,6,5,LC,5,0,0.726027397,0.522727273,0.440076488,0.693232251,0.380008926,0.643830863,4.591863858,7.684543731,40.00609426,LC,2.2
grisea,M,,1197914,17,14,8,NT,5,0,0.547619048,0.456521739,0.411814085,0.739943187,0.14053426,0.07274256,3.095904794,4.865670746,28.52723501,NT,2.6
peduncularis,M,,545243,17,11,5,LC,7,1,0.89516129,0.561904762,0.650426297,0.711342917,0.380464011,0.830782901,5.80867975,9.507883023,37.25206127,LC,
arizonica,M,,1063858.56,18,14,8,LC,7,0,0.340659341,0.188118812,0.209842192,0.246088522,0.136882676,0.316507619,3.837570545,5.166463862,35.35721031,LC,2.25
chrysolepis,C,M,633161.63,18,9,7,LC,6,1,0.652173913,0.409090909,0.430234489,0.455747297,0.199730927,0.496593565,5.198554065,7.586108795,41.36576469,LC,2.666666667
margarettae,E,,957618.49,18,7,2,LC,6,0,0.65,0.431427429,0.694928416,0.799697874,0.664235303,0.701642921,3.365034501,7.171503873,25.09406182,LC,4
obtusata,M,,429114.95,18,13,6,LC,5,0,0.452606635,0.53030303,0.455225051,0.570822606,0.568951089,0.325339453,4.249728293,7.15110464,36.17317782,LC,2
castanea,M,,773899.46,19,14,5,LC,4,0,0.923076923,0.602094241,0.757311672,0.777706915,0.838014146,0.460745956,3.498580911,7.917837994,26.42952064,LC,2
ellipsoidalis,E,,743634.98,19,9,4,LC,6,0,0.350850077,0.294520548,0.383249685,0.658116939,0.50390718,0.196548536,7.203787854,9.436771061,37.80561928,LC,2.6
laeta,M,,619540.35,19,14,6,LC,3,0,0.714285714,0.517857143,0.537543521,0.644750375,0.409887366,0.221069901,4.646341547,7.456872558,41.90483432,LC,
montana,E,,922270.39,19,7,3,LC,3,0,0.64556962,0.580645161,0.538918529,0.758232312,0.569232659,0.781090621,4.191717836,7.876407086,22.69077946,LC,3
turbinella,C,M,926632.34,19,9,8,LC,7,0,0.551020408,0.384615385,0.382050938,0.334344944,0.40543226,0.691947652,3.453728887,6.27422779,28.17967221,LC,2.5
calophylla,M,,715975.09,20,17,8,NT,5,0,0.178082192,0.095477387,0.035800454,0.85223613,0.108213589,0.081812091,2.813771595,3.421370897,28.15050487,NT,3
laurina,M,,667496.97,20,15,6,LC,5,NA,,NA,NA,NA,NA,NA,NA,NA,32.99115253,LC,
sinuata,E,M,829214.18,20,9,4,LC,7,0,0.558964525,0.527272727,0.300484465,0.706202931,0.470246432,0.359217296,3.753153593,6.439585469,30.98466754,LC,3
texana,E,,833296.55,20,8,4,LC,7,0,0.525423729,0.326007326,0.45060336,0.550083731,0.439668068,0.729525301,7.762036466,10.67293232,30.32133402,LC,3
virginiana,E,M,938945.65,20,9,5,LC,6,4,0.605263158,0.596330275,0.540153245,0.575285222,0.287169456,0.439784482,6.847621859,9.603491931,40.50839449,LC,2.090909091
crassifolia,M,,840954.9,21,15,6,LC,5,0,0.766899767,0.517006803,0.588207087,0.772023338,0.537898548,0.548966657,5.438958131,8.935835542,27.10610464,LC,2
laurifolia,E,,876840.02,21,9,6,LC,7,0,0.88028169,0.471698113,0.608492697,0.828771476,0.686834542,0.206065929,6.226796682,9.767004195,35.16923218,LC,3.333333333
lyrata,E,,1084685.7,22,7,2,LC,6,0,0.403203661,0.40708394,0.133028573,0.337355417,0.276882246,0.333881777,2.618900564,4.449863008,21.34873634,LC,3.166666667
rugosa,M,,1384531.41,23,17,6,NT,8,0,0.238785369,0.269649335,0.298050769,0.31238684,0.066555743,0.109060766,2.33479918,3.383456905,21.20421699,NT,2.25
pagoda,E,,1003139.21,24,8,2,NT,3,0,0.655172414,0.417721519,0.5279325,0.762496998,0.368024293,0.270207297,5.503226749,8.110309064,29.47908397,NT,3.666666667
falcata,E,,1514103.33,26,7,2,LC,4,0,0.35483871,0.347593583,0.381523236,0.72183285,0.193388784,0.267513102,3.31115158,5.049397779,18.37365659,LC,2.2
imbricaria,E,,989341.56,26,9,4,LC,6,0,0.680851064,0.449438202,0.38157199,0.417015086,0.195177755,0.174337027,3.048223132,5.124776925,26.64591625,LC,2.5
phellos,E,,1380502.01,27,9,4,DD,9,NA,,NA,NA,NA,NA,0.062934608,11.44542265,NA,26.24959868,DD,2.285714286
nigra,E,,1244953.22,29,11,5,LC,6,0,0.518518519,0.486486486,0.467271847,0.618072126,0.437777825,0.782533519,11.20842237,14.33878839,49.3042979,LC,1.428571429
robur,U,,6302320.97,29,13,7,LC,8,0,0.637155298,0.488372093,0.666184894,0.796668723,0.702428279,0.833210381,3.525480708,7.555259931,26.74767501,LC,2.75
prinoides,E,,1339550.85,32,9,3,LC,4,0,0.431524548,0.480314961,0.312145145,0.713240539,0.319302514,0.688624022,2.373198799,4.924412503,19.41008394,LC,4
michauxii,E,,1315221.11,34,11,4,LC,6,0,0.648648649,0.58490566,0.435047703,0.467960944,0.213110144,0.240909671,2.170936459,4.506668429,23.04891312,LC,2.428571429
bicolor,E,,2399807.55,35,10,5,LC,8,0,0.533980583,0.6,0.521107364,0.847066544,0.6104347,0.781658972,2.409977096,6.067593415,16.88556834,LC,2.555555556
